image,node_label_triples,node_output_triples,node_overlap_triples,node_precision,node_recall,node_f1,node_jaccard,edge_label_triples,edge_output_triples,edge_overlap_triples,edge_precision,edge_recall,edge_f1,edge_jaccard,overall_label_triples,overall_output_triples,overall_overlap_triples,overall_precision,overall_recall,overall_f1,overall_jaccard
94,22,22,20,0.9091,0.9091,0.9091,0.8333,18,18,9,0.5,0.5,0.5,0.3333,40,40,29,0.725,0.725,0.725,0.5686
99,33,29,1,0.0345,0.0303,0.0323,0.0164,25,30,0,0.0,0.0,0,0.0,58,59,1,0.0169,0.0172,0.0171,0.0086
100,11,12,10,0.8333,0.9091,0.8696,0.7692,7,10,4,0.4,0.5714,0.4706,0.3077,18,22,14,0.6364,0.7778,0.7,0.5385
107,17,17,16,0.9412,0.9412,0.9412,0.8889,15,15,10,0.6667,0.6667,0.6667,0.5,32,32,26,0.8125,0.8125,0.8125,0.6842
109,20,20,13,0.65,0.65,0.65,0.4815,18,18,12,0.6667,0.6667,0.6667,0.5,38,38,25,0.6579,0.6579,0.6579,0.4902
111,20,20,15,0.75,0.75,0.75,0.6,19,19,10,0.5263,0.5263,0.5263,0.3571,39,39,25,0.641,0.641,0.641,0.4717
113,24,24,17,0.7083,0.7083,0.7083,0.5484,21,21,9,0.4286,0.4286,0.4286,0.2727,45,45,26,0.5778,0.5778,0.5778,0.4062
114,20,23,18,0.7826,0.9,0.8372,0.72,19,22,12,0.5455,0.6316,0.5854,0.4138,39,45,30,0.6667,0.7692,0.7143,0.5556
116,28,28,19,0.6786,0.6786,0.6786,0.5135,26,26,15,0.5769,0.5769,0.5769,0.4054,54,54,34,0.6296,0.6296,0.6296,0.4595
118,17,17,12,0.7059,0.7059,0.7059,0.5455,16,16,10,0.625,0.625,0.625,0.4545,33,33,22,0.6667,0.6667,0.6667,0.5
119,18,18,14,0.7778,0.7778,0.7778,0.6364,16,16,9,0.5625,0.5625,0.5625,0.3913,34,34,23,0.6765,0.6765,0.6765,0.5111
120,17,17,16,0.9412,0.9412,0.9412,0.8889,16,16,10,0.625,0.625,0.625,0.4545,33,33,26,0.7879,0.7879,0.7879,0.65
121,21,21,18,0.8571,0.8571,0.8571,0.75,19,19,11,0.5789,0.5789,0.5789,0.4074,40,40,29,0.725,0.725,0.725,0.5686
125,21,21,14,0.6667,0.6667,0.6667,0.5,19,19,12,0.6316,0.6316,0.6316,0.4615,40,40,26,0.65,0.65,0.65,0.4815
134,24,26,20,0.7692,0.8333,0.8,0.6667,20,26,12,0.4615,0.6,0.5217,0.3529,44,52,32,0.6154,0.7273,0.6667,0.5
