image,node_label_triples,node_output_triples,node_overlap_triples,node_precision,node_recall,node_f1,node_jaccard,edge_label_triples,edge_output_triples,edge_overlap_triples,edge_precision,edge_recall,edge_f1,edge_jaccard,overall_label_triples,overall_output_triples,overall_overlap_triples,overall_precision,overall_recall,overall_f1,overall_jaccard
238,38,36,1,0.0278,0.0263,0.027,0.0137,33,35,0,0.0,0.0,0,0.0,71,71,1,0.0141,0.0141,0.0141,0.0071
239,14,10,9,0.9,0.6429,0.75,0.6,12,12,4,0.3333,0.3333,0.3333,0.2,26,22,13,0.5909,0.5,0.5417,0.3714
244,30,29,1,0.0345,0.0333,0.0339,0.0172,11,29,0,0.0,0.0,0,0.0,41,58,1,0.0172,0.0244,0.0202,0.0102
250,30,29,1,0.0345,0.0333,0.0339,0.0172,27,28,0,0.0,0.0,0,0.0,57,57,1,0.0175,0.0175,0.0175,0.0088
252,27,27,18,0.6667,0.6667,0.6667,0.5,25,25,16,0.64,0.64,0.64,0.4706,52,52,34,0.6538,0.6538,0.6538,0.4857
254,26,18,17,0.9444,0.6538,0.7727,0.6296,24,24,8,0.3333,0.3333,0.3333,0.2,50,42,25,0.5952,0.5,0.5435,0.3731
258,14,14,6,0.4286,0.4286,0.4286,0.2727,13,13,6,0.4615,0.4615,0.4615,0.3,27,27,12,0.4444,0.4444,0.4444,0.2857
259,24,24,16,0.6667,0.6667,0.6667,0.5,22,22,14,0.6364,0.6364,0.6364,0.4667,46,46,30,0.6522,0.6522,0.6522,0.4839
262,23,23,15,0.6522,0.6522,0.6522,0.4839,22,22,14,0.6364,0.6364,0.6364,0.4667,45,45,29,0.6444,0.6444,0.6444,0.4754
263,17,17,11,0.6471,0.6471,0.6471,0.4783,13,16,8,0.5,0.6154,0.5517,0.381,30,33,19,0.5758,0.6333,0.6032,0.4318
268,16,16,11,0.6875,0.6875,0.6875,0.5238,14,14,8,0.5714,0.5714,0.5714,0.4,30,30,19,0.6333,0.6333,0.6333,0.4634
273,20,15,11,0.7333,0.55,0.6286,0.4583,17,20,5,0.25,0.2941,0.2703,0.1562,37,35,16,0.4571,0.4324,0.4444,0.2857
274,17,12,8,0.6667,0.4706,0.5517,0.381,13,16,4,0.25,0.3077,0.2759,0.16,30,28,12,0.4286,0.4,0.4138,0.2609
275,26,24,15,0.625,0.5769,0.6,0.4286,22,25,14,0.56,0.6364,0.5957,0.4242,48,49,29,0.5918,0.6042,0.5979,0.4265
276,17,12,11,0.9167,0.6471,0.7586,0.6111,15,15,5,0.3333,0.3333,0.3333,0.2,32,27,16,0.5926,0.5,0.5424,0.3721
278,23,23,15,0.6522,0.6522,0.6522,0.4839,21,21,14,0.6667,0.6667,0.6667,0.5,44,44,29,0.6591,0.6591,0.6591,0.4915
279,26,18,11,0.6111,0.4231,0.5,0.3333,26,26,8,0.3077,0.3077,0.3077,0.1818,52,44,19,0.4318,0.3654,0.3958,0.2468
284,24,25,16,0.64,0.6667,0.6531,0.4848,22,23,14,0.6087,0.6364,0.6222,0.4516,46,48,30,0.625,0.6522,0.6383,0.4688
286,18,15,10,0.6667,0.5556,0.6061,0.4348,11,11,3,0.2727,0.2727,0.2727,0.1579,29,26,13,0.5,0.4483,0.4727,0.3095
288,26,20,16,0.8,0.6154,0.6957,0.5333,28,26,8,0.3077,0.2857,0.2963,0.1739,54,46,24,0.5217,0.4444,0.48,0.3158
291,23,23,12,0.5217,0.5217,0.5217,0.3529,22,22,12,0.5455,0.5455,0.5455,0.375,45,45,24,0.5333,0.5333,0.5333,0.3636
293,20,14,10,0.7143,0.5,0.5882,0.4167,19,19,6,0.3158,0.3158,0.3158,0.1875,39,33,16,0.4848,0.4103,0.4444,0.2857
295,20,16,7,0.4375,0.35,0.3889,0.2414,14,14,4,0.2857,0.2857,0.2857,0.1667,34,30,11,0.3667,0.3235,0.3438,0.2075
309,23,23,15,0.6522,0.6522,0.6522,0.4839,21,21,14,0.6667,0.6667,0.6667,0.5,44,44,29,0.6591,0.6591,0.6591,0.4915
310,20,14,13,0.9286,0.65,0.7647,0.619,18,18,6,0.3333,0.3333,0.3333,0.2,38,32,19,0.5938,0.5,0.5429,0.3725
315,14,14,9,0.6429,0.6429,0.6429,0.4737,12,12,8,0.6667,0.6667,0.6667,0.5,26,26,17,0.6538,0.6538,0.6538,0.4857
319,14,14,9,0.6429,0.6429,0.6429,0.4737,12,12,8,0.6667,0.6667,0.6667,0.5,26,26,17,0.6538,0.6538,0.6538,0.4857
322,18,18,11,0.6111,0.6111,0.6111,0.44,16,16,10,0.625,0.625,0.625,0.4545,34,34,21,0.6176,0.6176,0.6176,0.4468
328,22,20,13,0.65,0.5909,0.619,0.4483,20,20,12,0.6,0.6,0.6,0.4286,42,40,25,0.625,0.5952,0.6098,0.4386
331,14,10,5,0.5,0.3571,0.4167,0.2632,12,12,8,0.6667,0.6667,0.6667,0.5,26,22,13,0.5909,0.5,0.5417,0.3714
332,14,14,9,0.6429,0.6429,0.6429,0.4737,12,12,8,0.6667,0.6667,0.6667,0.5,26,26,17,0.6538,0.6538,0.6538,0.4857
334,14,10,9,0.9,0.6429,0.75,0.6,12,12,4,0.3333,0.3333,0.3333,0.2,26,22,13,0.5909,0.5,0.5417,0.3714
335,18,14,12,0.8571,0.6667,0.75,0.6,16,16,5,0.3125,0.3125,0.3125,0.1852,34,30,17,0.5667,0.5,0.5312,0.3617
341,17,17,11,0.6471,0.6471,0.6471,0.4783,16,16,10,0.625,0.625,0.625,0.4545,33,33,21,0.6364,0.6364,0.6364,0.4667
345,18,12,10,0.8333,0.5556,0.6667,0.5,17,16,5,0.3125,0.2941,0.303,0.1786,35,28,15,0.5357,0.4286,0.4762,0.3125
347,14,14,9,0.6429,0.6429,0.6429,0.4737,12,12,8,0.6667,0.6667,0.6667,0.5,26,26,17,0.6538,0.6538,0.6538,0.4857
351,14,10,9,0.9,0.6429,0.75,0.6,12,12,4,0.3333,0.3333,0.3333,0.2,26,22,13,0.5909,0.5,0.5417,0.3714
356,20,14,12,0.8571,0.6,0.7059,0.5455,18,18,6,0.3333,0.3333,0.3333,0.2,38,32,18,0.5625,0.4737,0.5143,0.3462
358,14,14,9,0.6429,0.6429,0.6429,0.4737,12,12,8,0.6667,0.6667,0.6667,0.5,26,26,17,0.6538,0.6538,0.6538,0.4857
361,14,10,9,0.9,0.6429,0.75,0.6,12,12,4,0.3333,0.3333,0.3333,0.2,26,22,13,0.5909,0.5,0.5417,0.3714
380,17,12,11,0.9167,0.6471,0.7586,0.6111,15,15,5,0.3333,0.3333,0.3333,0.2,32,27,16,0.5926,0.5,0.5424,0.3721
394,20,20,11,0.55,0.55,0.55,0.3793,16,16,9,0.5625,0.5625,0.5625,0.3913,36,36,20,0.5556,0.5556,0.5556,0.3846
401,20,20,11,0.55,0.55,0.55,0.3793,14,14,6,0.4286,0.4286,0.4286,0.2727,34,34,17,0.5,0.5,0.5,0.3333
411,17,17,11,0.6471,0.6471,0.6471,0.4783,16,16,10,0.625,0.625,0.625,0.4545,33,33,21,0.6364,0.6364,0.6364,0.4667
412,17,17,11,0.6471,0.6471,0.6471,0.4783,16,16,10,0.625,0.625,0.625,0.4545,33,33,21,0.6364,0.6364,0.6364,0.4667
413,14,8,5,0.625,0.3571,0.4545,0.2941,10,10,3,0.3,0.3,0.3,0.1765,24,18,8,0.4444,0.3333,0.381,0.2353
416,21,21,14,0.6667,0.6667,0.6667,0.5,19,19,12,0.6316,0.6316,0.6316,0.4615,40,40,26,0.65,0.65,0.65,0.4815
418,20,20,11,0.55,0.55,0.55,0.3793,19,19,10,0.5263,0.5263,0.5263,0.3571,39,39,21,0.5385,0.5385,0.5385,0.3684
428,27,26,12,0.4615,0.4444,0.4528,0.2927,26,27,14,0.5185,0.5385,0.5283,0.359,53,53,26,0.4906,0.4906,0.4906,0.325
429,20,20,13,0.65,0.65,0.65,0.4815,19,19,12,0.6316,0.6316,0.6316,0.4615,39,39,25,0.641,0.641,0.641,0.4717
432,23,17,10,0.5882,0.4348,0.5,0.3333,20,20,6,0.3,0.3,0.3,0.1765,43,37,16,0.4324,0.3721,0.4,0.25
433,24,24,16,0.6667,0.6667,0.6667,0.5,22,22,14,0.6364,0.6364,0.6364,0.4667,46,46,30,0.6522,0.6522,0.6522,0.4839
444,15,11,9,0.8182,0.6,0.6923,0.5294,13,13,4,0.3077,0.3077,0.3077,0.1818,28,24,13,0.5417,0.4643,0.5,0.3333
446,15,15,10,0.6667,0.6667,0.6667,0.5,13,13,8,0.6154,0.6154,0.6154,0.4444,28,28,18,0.6429,0.6429,0.6429,0.4737
