image,node_label_triples,node_output_triples,node_overlap_triples,node_precision,node_recall,node_f1,node_jaccard,edge_label_triples,edge_output_triples,edge_overlap_triples,edge_precision,edge_recall,edge_f1,edge_jaccard,overall_label_triples,overall_output_triples,overall_overlap_triples,overall_precision,overall_recall,overall_f1,overall_jaccard
413,14,14,14,1.0,1.0,1.0,1.0,10,10,10,1.0,1.0,1.0,1.0,24,24,24,1.0,1.0,1.0,1.0
416,21,21,21,1.0,1.0,1.0,1.0,19,19,19,1.0,1.0,1.0,1.0,40,40,40,1.0,1.0,1.0,1.0
418,20,20,15,0.75,0.75,0.75,0.6,19,19,13,0.6842,0.6842,0.6842,0.52,39,39,28,0.7179,0.7179,0.7179,0.56
428,27,26,16,0.6154,0.5926,0.6038,0.4324,26,27,21,0.7778,0.8077,0.7925,0.6562,53,53,37,0.6981,0.6981,0.6981,0.5362
429,20,23,13,0.5652,0.65,0.6047,0.4333,19,22,15,0.6818,0.7895,0.7317,0.5769,39,45,28,0.6222,0.7179,0.6667,0.5
432,23,23,19,0.8261,0.8261,0.8261,0.7037,20,20,19,0.95,0.95,0.95,0.9048,43,43,38,0.8837,0.8837,0.8837,0.7917
433,24,24,23,0.9583,0.9583,0.9583,0.92,22,22,21,0.9545,0.9545,0.9545,0.913,46,46,44,0.9565,0.9565,0.9565,0.9167
444,15,15,15,1.0,1.0,1.0,1.0,13,13,13,1.0,1.0,1.0,1.0,28,28,28,1.0,1.0,1.0,1.0
446,15,15,15,1.0,1.0,1.0,1.0,13,13,13,1.0,1.0,1.0,1.0,28,28,28,1.0,1.0,1.0,1.0
457,24,23,23,1.0,0.9583,0.9787,0.9583,23,23,22,0.9565,0.9565,0.9565,0.9167,47,46,45,0.9783,0.9574,0.9677,0.9375
470,21,21,21,1.0,1.0,1.0,1.0,19,19,19,1.0,1.0,1.0,1.0,40,40,40,1.0,1.0,1.0,1.0
497,22,24,14,0.5833,0.6364,0.6087,0.4375,21,21,12,0.5714,0.5714,0.5714,0.4,43,45,26,0.5778,0.6047,0.5909,0.4194
498,14,14,14,1.0,1.0,1.0,1.0,12,12,12,1.0,1.0,1.0,1.0,26,26,26,1.0,1.0,1.0,1.0
520,25,23,15,0.6522,0.6,0.625,0.4545,23,22,18,0.8182,0.7826,0.8,0.6667,48,45,33,0.7333,0.6875,0.7097,0.55
521,29,29,18,0.6207,0.6207,0.6207,0.45,28,29,22,0.7586,0.7857,0.7719,0.6286,57,58,40,0.6897,0.7018,0.6957,0.5333
525,12,12,11,0.9167,0.9167,0.9167,0.8462,10,10,10,1.0,1.0,1.0,1.0,22,22,21,0.9545,0.9545,0.9545,0.913
542,17,17,17,1.0,1.0,1.0,1.0,15,15,15,1.0,1.0,1.0,1.0,32,32,32,1.0,1.0,1.0,1.0
548,17,17,13,0.7647,0.7647,0.7647,0.619,16,16,10,0.625,0.625,0.625,0.4545,33,33,23,0.697,0.697,0.697,0.5349
556,11,11,10,0.9091,0.9091,0.9091,0.8333,7,7,7,1.0,1.0,1.0,1.0,18,18,17,0.9444,0.9444,0.9444,0.8947
562,23,23,21,0.913,0.913,0.913,0.84,19,19,18,0.9474,0.9474,0.9474,0.9,42,42,39,0.9286,0.9286,0.9286,0.8667
563,20,20,19,0.95,0.95,0.95,0.9048,18,18,18,1.0,1.0,1.0,1.0,38,38,37,0.9737,0.9737,0.9737,0.9487
576,33,33,31,0.9394,0.9394,0.9394,0.8857,24,24,20,0.8333,0.8333,0.8333,0.7143,57,57,51,0.8947,0.8947,0.8947,0.8095
577,23,23,23,1.0,1.0,1.0,1.0,19,19,19,1.0,1.0,1.0,1.0,42,42,42,1.0,1.0,1.0,1.0
580,20,20,18,0.9,0.9,0.9,0.8182,18,18,18,1.0,1.0,1.0,1.0,38,38,36,0.9474,0.9474,0.9474,0.9
589,14,14,14,1.0,1.0,1.0,1.0,12,12,12,1.0,1.0,1.0,1.0,26,26,26,1.0,1.0,1.0,1.0
591,23,23,20,0.8696,0.8696,0.8696,0.7692,19,19,19,1.0,1.0,1.0,1.0,42,42,39,0.9286,0.9286,0.9286,0.8667
598,23,23,13,0.5652,0.5652,0.5652,0.3939,15,18,11,0.6111,0.7333,0.6667,0.5,38,41,24,0.5854,0.6316,0.6076,0.4364
605,24,26,21,0.8077,0.875,0.84,0.7241,21,24,14,0.5833,0.6667,0.6222,0.4516,45,50,35,0.7,0.7778,0.7368,0.5833
607,17,17,13,0.7647,0.7647,0.7647,0.619,16,16,11,0.6875,0.6875,0.6875,0.5238,33,33,24,0.7273,0.7273,0.7273,0.5714
620,27,27,16,0.5926,0.5926,0.5926,0.4211,26,26,16,0.6154,0.6154,0.6154,0.4444,53,53,32,0.6038,0.6038,0.6038,0.4324
624,28,27,1,0.037,0.0357,0.0364,0.0185,11,27,0,0.0,0.0,0,0.0,39,54,1,0.0185,0.0256,0.0215,0.0109
627,20,20,15,0.75,0.75,0.75,0.6,19,19,13,0.6842,0.6842,0.6842,0.52,39,39,28,0.7179,0.7179,0.7179,0.56
630,26,26,17,0.6538,0.6538,0.6538,0.4857,25,25,20,0.8,0.8,0.8,0.6667,51,51,37,0.7255,0.7255,0.7255,0.5692
634,26,26,25,0.9615,0.9615,0.9615,0.9259,27,27,26,0.963,0.963,0.963,0.9286,53,53,51,0.9623,0.9623,0.9623,0.9273
